grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,time2
20,45,18,0,3.6666666666666665,28.98
20,41,36,1,4.5,15.4
20,57,24,0,1.0,21.66
20,53,30,0,1.7777777777777777,22.07
20,44,22,1,2.0,16.25
50,60,18,0,1.2,2.51
20,52,18,1,3.0,15.64
50,17,22,1,1.2222222222222223,3.32
20,20,26,1,3.1666666666666665,29.04
50,18,16,0,3.6666666666666665,5.85
50,26,16,0,1.7142857142857142,4.39
20,48,24,1,2.0,14.74
20,10,36,1,3.8461538461538463,45.33
20,45,22,0,2.0,25.88
50,16,36,0,2.4,5.17
20,28,34,1,1.2142857142857142,19.43
50,25,24,0,1.6666666666666667,3.71
20,35,24,1,4.375,19.68
20,54,32,1,3.333333333333333,12.2
80,10,18,1,2.0,1.7
80,12,14,1,1.25,1.75
20,40,14,0,1.4705882352941178,37.62
50,23,34,0,1.6,3.88
20,52,22,1,1.7272727272727273,15.06
50,14,24,1,2.2857142857142856,3.64
50,11,36,1,2.6666666666666665,3.7
20,21,20,1,2.9285714285714284,31.42
20,60,36,1,1.1,12.44
50,27,14,0,2.0,4.57
50,40,14,0,2.8,3.36
20,48,28,1,1.7,15.03
20,54,16,0,1.5384615384615383,26.36
20,18,20,1,3.8461538461538463,34.93
20,49,30,1,1.2727272727272727,14.18
20,45,26,0,3.8571428571428568,25.52
50,51,22,0,1.2,2.44
50,30,36,0,1.2,3.43
20,54,20,1,3.375,14.86
20,22,18,1,2.7333333333333334,31.9
20,22,36,1,2.4545454545454546,23.54
20,28,36,0,1.3076923076923077,33.84
50,24,14,0,2.2857142857142856,4.96
20,48,26,1,1.25,14.68
50,30,16,1,1.25,2.94
20,29,32,1,1.1333333333333333,20.2
20,13,28,1,1.8421052631578947,40.38
20,48,30,0,1.6,23.88
20,26,36,1,1.6666666666666667,20.32
20,18,36,0,2.0769230769230766,50.93
20,54,22,1,3.8571428571428568,13.96
20,10,30,1,2.05,47.95
20,30,22,0,1.375,37.25
20,42,28,1,2.875,15.65
20,30,28,1,4.125,20.83
50,48,30,0,1.0,2.55
50,18,20,0,1.625,5.04
20,26,20,1,3.1666666666666665,25.85
20,21,16,0,2.411764705882353,60.98
50,22,24,1,1.125,2.91
80,36,14,0,1.0,1.33
20,20,24,0,3.4166666666666665,50.59
50,12,30,0,4.4,6.35
50,16,34,0,1.8333333333333333,5.15
80,22,24,1,1.0,1.09
20,50,24,0,1.3333333333333333,23.71
20,23,36,1,1.6153846153846154,22.13
20,11,28,1,2.647058823529412,45.32
20,40,18,0,3.3,31.59
50,34,16,1,2.4,2.68
20,22,30,0,4.5555555555555545,43.71
20,32,32,1,4.428571428571429,18.77
50,46,14,0,1.1428571428571428,3.29
50,36,36,1,1.0,2.22
50,45,24,0,1.2,2.71
20,37,34,0,1.0769230769230769,27.88
