x_length,y_length,grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,time1
46000,14400,50,48,28,1,1.3333333333333333,16.07
46000,14400,20,60,24,1,3.5,91.01
10000,10000,20,24,36,0,3.4444444444444446,45.74
30000,12000,50,28,26,1,2.875,11.03
46000,14400,100,32,20,1,1.2222222222222223,4.0
23200,18000,20,37,20,1,2.4166666666666665,88.5
46000,14400,20,47,34,0,4.466666666666667,174.04
46000,14400,80,55,22,0,1.25,7.42
23200,18000,50,45,36,1,1.0,10.77
23200,18000,80,20,22,0,1.181818181818182,6.36
30000,12000,50,10,36,0,1.0,27.63
7200,24000,20,24,26,1,1.08,50.3
30000,12000,50,57,18,1,3.6666666666666665,9.06
30000,12000,50,48,34,0,1.7142857142857142,13.07
23200,18000,100,55,28,1,1.0,5.33
23200,18000,100,20,24,1,3.0,4.27
10000,10000,20,30,34,1,1.1428571428571428,26.29
46000,14400,20,48,22,1,1.46875,126.9
30000,12000,20,41,30,0,1.8,102.55
46000,14400,100,56,18,0,1.5,4.6
46000,14400,80,60,22,1,1.4285714285714286,5.67
46000,14400,80,48,22,1,3.4,9.18
10000,10000,20,53,14,0,3.888888888888889,37.02
46000,14400,50,46,16,1,1.1111111111111112,24.9
7200,24000,50,13,36,1,4.0,8.17
7200,24000,20,50,18,1,1.875,38.0
23200,18000,50,60,20,0,2.7142857142857144,11.21
46000,14400,80,55,36,0,1.8,8.61
46000,14400,100,54,22,1,2.0,6.86
7200,24000,50,36,36,0,1.8,10.59
7200,24000,50,22,24,0,4.8,10.14
46000,14400,100,57,16,1,1.2857142857142858,3.95
23200,18000,100,21,24,1,2.0,4.74
30000,12000,80,10,18,1,3.1,6.77
30000,12000,80,30,22,1,2.0,7.77
30000,12000,80,40,36,1,1.0,4.48
10000,10000,50,30,16,0,1.25,5.29
7200,24000,20,12,30,1,1.7307692307692308,80.33
7200,24000,20,12,22,1,1.25,94.38
7200,24000,50,25,30,1,2.333333333333333,7.51
7200,24000,20,50,26,1,1.0,50.47
23200,18000,20,20,36,1,2.32,133.97
23200,18000,50,22,20,1,1.1666666666666667,13.18
7200,24000,20,20,26,0,1.5652173913043481,95.03
7200,24000,20,39,20,0,1.6666666666666667,59.24
7200,24000,80,39,16,0,1.0,10.78
23200,18000,20,25,26,1,4.9444444444444455,113.18
10000,10000,50,21,36,0,1.0,9.61
23200,18000,80,37,26,0,1.8333333333333333,5.99
46000,14400,100,10,34,1,3.8571428571428568,6.44
7200,24000,20,30,22,1,1.6,46.12
7200,24000,100,16,30,1,1.0,2.23
23200,18000,20,55,36,0,2.0,100.85
23200,18000,50,29,30,1,5.0,12.05
23200,18000,20,54,28,1,1.5238095238095235,66.4
23200,18000,20,51,32,0,1.8888888888888888,100.83
46000,14400,50,15,24,1,2.875,27.9
30000,12000,50,21,18,0,3.0,17.91
7200,24000,50,51,22,0,1.1428571428571428,8.63
10000,10000,20,57,34,0,1.4444444444444444,28.86
10000,10000,50,10,14,1,2.8,10.59
7200,24000,20,54,20,1,1.5,36.38
7200,24000,80,28,18,0,2.0,3.31
7200,24000,50,24,24,1,4.8,7.05
10000,10000,50,10,18,0,2.2,9.67
46000,14400,50,32,36,0,1.5833333333333333,20.82
23200,18000,80,26,28,0,1.25,8.55
30000,12000,50,60,28,0,3.4,12.4
10000,10000,20,32,30,1,3.875,24.35
10000,10000,50,26,16,0,2.5,7.68
23200,18000,100,48,22,0,1.4,3.65
30000,12000,80,14,36,0,2.142857142857143,6.48
30000,12000,80,20,34,0,1.5714285714285714,5.58
10000,10000,20,41,22,0,1.8333333333333333,35.32
30000,12000,20,45,22,0,2.7777777777777777,106.6
23200,18000,50,19,20,1,1.2777777777777777,13.07
7200,24000,20,34,22,1,1.8823529411764703,41.15
10000,10000,50,50,18,0,1.6,5.29
30000,12000,80,10,24,1,2.7777777777777777,6.71
23200,18000,20,32,30,1,1.2,90.99
10000,10000,20,20,18,0,1.08,67.03
30000,12000,20,15,16,1,4.166666666666667,204.57
10000,10000,50,34,30,1,1.2,5.32
10000,10000,20,40,30,1,3.125,22.0
30000,12000,50,33,28,0,2.25,11.75
46000,14400,50,14,20,0,2.3,39.64
10000,10000,80,23,24,1,1.0,2.9
10000,10000,20,58,18,1,3.375,20.95
46000,14400,100,15,32,0,3.8333333333333335,6.54
23200,18000,100,33,28,1,1.1666666666666667,3.44
23200,18000,20,48,18,1,4.5,81.15
46000,14400,20,24,36,0,4.75,300.28
10000,10000,20,39,34,1,4.833333333333333,23.43
30000,12000,80,48,28,0,1.0,7.04
46000,14400,100,32,24,0,1.0,4.1
10000,10000,50,30,32,1,1.6,3.88
10000,10000,20,34,24,0,2.9,37.17
7200,24000,50,22,30,0,1.625,7.83
10000,10000,20,25,14,0,3.571428571428572,63.96
30000,12000,20,39,22,1,4.533333333333333,74.28
10000,10000,20,15,28,0,1.0869565217391304,69.15
23200,18000,80,33,26,0,1.0,5.74
30000,12000,80,13,22,1,1.0769230769230769,4.97
7200,24000,20,42,18,1,4.636363636363637,40.21
10000,10000,50,40,24,1,1.0,5.16
7200,24000,80,22,20,0,1.5,3.48
46000,14400,80,14,34,1,1.3333333333333333,8.21
23200,18000,100,20,26,1,1.8333333333333333,5.2
30000,12000,50,28,30,0,2.625,12.53
10000,10000,20,38,24,1,1.5384615384615383,21.9
23200,18000,100,15,14,0,1.25,6.98
10000,10000,50,21,14,0,1.5555555555555556,6.84
10000,10000,20,38,36,1,4.333333333333333,22.54
7200,24000,20,40,18,1,3.4615384615384617,41.38
30000,12000,20,40,14,0,3.571428571428572,153.69
23200,18000,20,55,32,0,1.181818181818182,96.64
10000,10000,20,10,36,0,1.08,102.67
46000,14400,20,37,32,0,3.736842105263158,201.05
10000,10000,20,30,20,0,4.1,42.85
46000,14400,50,31,26,1,2.636363636363636,30.2
10000,10000,20,13,14,0,1.0857142857142856,120.97
30000,12000,100,10,28,1,3.5,5.37
7200,24000,20,57,24,1,1.125,35.94
10000,10000,50,36,14,0,1.125,5.35
23200,18000,50,20,36,1,1.5833333333333333,13.99
10000,10000,80,18,28,0,1.0,3.76
30000,12000,50,10,18,1,1.1538461538461535,21.15
46000,14400,100,52,36,0,1.2,10.87
46000,14400,100,55,18,1,1.6666666666666667,5.23
23200,18000,50,56,30,1,1.8571428571428568,11.39
23200,18000,50,14,30,1,1.3529411764705883,17.06
46000,14400,20,24,30,1,1.1333333333333333,178.16
10000,10000,100,19,18,1,1.0,2.4
10000,10000,50,20,30,0,2.6,7.14
7200,24000,50,38,34,0,1.0,7.5
46000,14400,50,49,30,1,2.625,25.99
30000,12000,20,23,28,0,2.0384615384615383,168.64
23200,18000,20,57,18,1,1.826086956521739,68.06
7200,24000,20,42,26,0,1.9285714285714288,55.36
10000,10000,50,24,20,1,3.2,4.44
30000,12000,80,14,18,0,4.428571428571429,7.83
46000,14400,20,56,36,1,1.6363636363636365,94.17
10000,10000,80,23,24,1,1.0,4.08
10000,10000,100,10,16,0,1.6666666666666667,3.39
23200,18000,80,31,32,0,1.2857142857142858,7.0
30000,12000,80,15,16,1,2.3,5.55
7200,24000,20,48,20,1,1.1,38.57
30000,12000,20,33,32,1,2.5,73.12
46000,14400,80,44,24,1,1.8571428571428568,4.9
7200,24000,50,11,30,1,1.0,9.43
30000,12000,80,31,26,1,2.4,3.96
30000,12000,80,13,22,0,4.666666666666667,6.93
30000,12000,20,35,32,1,2.7058823529411766,70.61
46000,14400,80,34,18,0,1.6,8.94
7200,24000,20,46,16,0,3.4615384615384617,63.41
7200,24000,50,16,30,0,4.0,11.19
7200,24000,20,56,30,0,3.75,45.53
46000,14400,20,37,26,0,2.2962962962962963,210.83
46000,14400,20,40,18,0,3.9583333333333335,219.25
46000,14400,50,17,36,0,1.5625,41.02
46000,14400,20,54,18,0,4.25,173.51
30000,12000,50,27,34,0,2.125,12.33
7200,24000,20,21,26,1,3.4,57.03
23200,18000,80,19,36,1,2.5,5.87
30000,12000,50,41,34,1,2.0,10.92
46000,14400,80,19,20,0,3.111111111111111,9.14
23200,18000,50,27,24,1,2.5,11.44
7200,24000,50,60,32,1,1.4,6.3
10000,10000,50,30,24,0,2.0,5.02
30000,12000,20,30,24,1,1.3666666666666667,80.74
7200,24000,50,43,24,0,2.4,7.24
23200,18000,50,24,20,0,2.727272727272727,18.02
10000,10000,20,19,20,0,1.04,75.6
30000,12000,50,51,28,0,2.0,10.34
30000,12000,20,29,24,0,2.04,140.25
10000,10000,50,10,30,1,1.3,5.36
7200,24000,50,60,18,1,1.0,4.28
7200,24000,50,10,28,1,1.6666666666666667,8.21
46000,14400,50,27,14,1,1.7,26.15
46000,14400,100,50,16,1,1.0,4.01
46000,14400,20,51,26,0,2.761904761904762,161.54
46000,14400,20,20,30,1,1.1875,215.73
30000,12000,50,29,36,1,3.333333333333333,11.38
23200,18000,50,54,36,1,2.0,9.45
30000,12000,20,56,24,1,1.04,57.67
23200,18000,20,40,20,1,1.0,81.96
10000,10000,20,35,24,1,1.9166666666666667,25.83
30000,12000,50,34,16,0,1.1333333333333333,15.74
46000,14400,80,43,20,1,1.4444444444444444,6.96
46000,14400,80,15,16,0,2.9166666666666665,14.59
7200,24000,50,23,16,1,1.8,7.87
30000,12000,50,28,30,0,4.166666666666667,14.45
7200,24000,20,26,22,1,1.0,49.97
46000,14400,80,36,24,1,4.6,6.7
23200,18000,50,13,34,0,3.5,26.41
30000,12000,20,16,18,1,2.8181818181818183,169.6
10000,10000,20,40,24,0,1.6666666666666667,34.37
7200,24000,50,19,18,0,1.3333333333333333,17.08
30000,12000,100,20,30,0,2.4,5.57
7200,24000,80,30,24,0,1.0,7.33
7200,24000,50,35,18,0,4.0,9.38
23200,18000,20,20,18,1,3.2,160.68
30000,12000,50,16,30,1,4.625,13.52
10000,10000,20,33,32,0,1.0,37.56
23200,18000,50,15,34,1,3.0,14.75
7200,24000,20,45,26,0,2.0769230769230766,52.42
7200,24000,50,31,34,1,1.1428571428571428,6.81
10000,10000,100,20,20,0,1.0,2.36
7200,24000,100,21,30,0,1.0,3.91
23200,18000,50,43,30,0,1.875,14.96
30000,12000,20,54,34,0,1.5882352941176472,84.64
7200,24000,50,45,34,1,1.6,4.47
30000,12000,50,13,18,1,3.5384615384615383,16.53
46000,14400,50,32,26,0,2.5454545454545454,37.77
46000,14400,80,30,16,0,1.4166666666666667,8.28
30000,12000,50,40,20,0,2.0,10.49
7200,24000,100,10,18,1,3.6,3.27
30000,12000,100,13,28,0,1.1111111111111112,4.82
10000,10000,50,10,16,1,1.6666666666666667,9.2
30000,12000,50,24,24,0,4.714285714285714,18.64
30000,12000,80,27,36,0,2.0,5.54
23200,18000,80,60,34,0,1.0,6.86
30000,12000,80,40,30,1,1.1666666666666667,5.31
7200,24000,20,60,24,0,3.0,41.91
7200,24000,20,55,16,0,4.5,53.09
7200,24000,50,14,20,1,3.5,7.64
