grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,n_hours,time_tot
20,19,26,1,2.923076923076924,82,2447.13
50,34,34,1,1.0,106,218.17
20,16,30,1,1.25,25,798.16
50,20,22,1,1.1111111111111112,116,350.51
50,11,36,1,2.6666666666666665,64,239.12000000000003
80,23,16,0,1.4,88,143.27
20,33,28,1,2.0,47,940.65
20,30,32,1,4.714285714285714,20,430.57
20,54,28,1,3.8333333333333335,74,945.76
20,28,18,0,3.727272727272727,136,5713.89
20,24,14,0,1.3478260869565215,27,1605.01
50,19,20,1,1.0,130,442.2
20,49,24,0,2.0,129,3063.85
20,20,16,1,1.24,20,773.6800000000002
20,40,30,0,2.0,129,3435.68
20,60,30,1,2.0,112,1350.17
20,29,16,0,1.8235294117647056,100,4414.67
20,60,36,1,1.1,123,1537.82
50,17,16,0,5.0,40,240.59000000000003
20,29,32,0,1.1333333333333333,93,3226.59
20,18,16,1,3.6666666666666665,124,5237.88
20,28,14,1,2.0588235294117645,90,2879.67
50,28,18,0,2.8,53,201.14
50,16,22,0,1.3333333333333333,28,150.32999999999996
20,16,26,1,1.631578947368421,139,4761.22
50,16,20,0,5.0,122,677.35
50,33,32,0,1.0,86,270.94
20,40,28,0,1.0714285714285714,30,819.2600000000001
80,14,24,0,1.4,92,165.47
80,32,18,1,1.0,91,95.8
50,28,18,1,1.5714285714285714,32,100.61
20,42,30,1,1.4545454545454546,2,35.28
20,33,32,1,1.0,14,269.37
20,32,30,0,3.875,34,1111.3100000000004
50,28,30,1,1.6,49,126.17
20,28,16,0,1.8235294117647056,60,2704.16
20,14,26,1,1.8421052631578947,114,4528.87
20,19,36,1,2.0769230769230766,15,394.31
20,46,32,1,3.0,68,946.82
100,10,24,0,1.6,8,12.17
80,21,24,1,1.0,43,50.35
20,22,26,1,3.4545454545454546,120,3225.82
20,45,30,0,4.5,114,3081.33
20,35,32,0,1.4166666666666667,50,1446.72
50,29,22,0,1.5,70,241.04
20,43,28,1,1.5454545454545454,64,983.19
20,23,16,1,1.4761904761904765,113,3879.51
50,30,36,0,1.4,51,179.05
20,55,22,0,2.4444444444444446,125,2801.77
50,39,20,0,1.1666666666666667,128,396.24
20,48,18,1,1.5384615384615383,133,2263.57
20,34,26,0,1.3571428571428572,125,3954.74
20,48,32,1,1.5,63,919.25
20,54,32,1,1.3,97,1256.88
50,18,14,1,1.2727272727272727,129,523.81
20,18,34,1,4.5555555555555545,129,3617.77
20,52,18,1,1.6666666666666667,121,1932.34
20,32,16,0,2.066666666666667,67,2749.65
50,12,36,0,3.2,49,309.11
80,12,16,1,1.4285714285714286,112,190.76
20,23,16,1,1.4761904761904765,32,1102.02
20,57,26,1,2.375,79,1018.69
20,16,22,1,3.0,32,1197.95
20,57,24,1,1.0,7,99.03
50,22,36,1,1.3333333333333333,38,107.9
20,52,28,0,1.8888888888888888,63,1462.96
20,14,30,0,1.0869565217391304,73,4910.9000000000015
20,57,32,0,3.333333333333333,96,2009.58
50,39,18,1,2.2,10,23.92
50,17,24,0,1.375,57,288.14
50,54,14,0,1.0,98,295.8300000000001
50,25,18,1,1.375,138,404.81
20,11,14,0,3.227272727272727,120,15775.159999999998
50,12,20,0,1.0833333333333333,38,266.15000000000003
50,18,20,0,1.625,62,313.87
20,11,30,1,2.8125,121,5353.25
20,16,28,1,2.333333333333333,109,3586.360000000001
20,19,24,0,1.3,67,3483.0200000000004
20,18,28,0,1.5882352941176472,7,374.25999999999993
50,34,36,0,1.0,97,338.54
20,21,36,1,1.0588235294117647,49,1224.14
