grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,time1
100,10,24,1,1.0,5.21
20,20,18,0,4.583333333333333,61.47
50,32,32,0,1.0,5.73
20,20,36,0,2.8181818181818183,51.59
50,11,14,1,3.111111111111111,7.13
80,12,24,0,1.1666666666666667,4.07
50,10,24,1,1.6,5.61
50,51,22,1,1.2,3.64
50,28,18,0,1.5714285714285714,5.0
20,45,36,1,2.25,19.37
20,31,18,0,1.6875,41.84
20,28,24,0,1.5333333333333334,41.31
80,24,14,1,1.6,2.31
20,48,22,0,1.0,29.83
50,26,18,0,3.0,6.48
20,35,36,0,1.4545454545454546,36.63
20,15,16,0,1.64,89.24
50,24,20,0,2.0,5.51
50,28,34,0,1.4,4.93
50,18,36,0,2.2,6.57
20,31,20,1,1.5625,26.16
20,46,26,1,2.333333333333333,19.45
50,28,30,0,1.6,6.44
80,36,16,1,1.0,3.18
100,10,20,1,2.0,3.05
20,11,36,1,2.7333333333333334,47.1
20,24,30,0,1.9230769230769231,43.63
50,16,14,1,3.571428571428572,5.67
50,14,16,1,4.666666666666667,6.02
20,26,36,0,1.6666666666666667,42.25
50,24,18,1,1.375,4.5
100,25,16,1,1.0,5.92
20,51,30,0,1.7777777777777777,27.19
20,20,30,0,1.0,53.1
50,39,18,1,2.2,3.67
50,25,24,0,1.0,5.71
80,10,16,0,2.5,3.57
20,38,18,1,2.0,23.96
50,30,26,1,2.0,5.88
50,10,20,1,2.0,6.74
20,46,28,0,1.7,31.32
20,34,28,0,3.625,36.55
50,24,26,0,2.4,6.76
50,20,28,0,2.4,8.27
20,48,18,1,2.7,21.21
20,48,36,0,3.333333333333333,28.15
20,57,24,0,1.0,26.95
20,37,30,0,1.2307692307692308,36.99
20,40,34,0,1.1666666666666667,30.92
20,15,20,0,1.32,73.2
20,19,24,0,1.3,56.3
50,38,18,0,2.0,4.64
20,35,24,1,1.4285714285714286,22.76
50,18,26,1,1.5714285714285714,5.04
50,60,14,0,1.1666666666666667,4.49
80,16,24,0,1.4,3.19
50,45,16,1,1.3333333333333333,4.22
20,42,24,1,1.818181818181818,24.47
20,54,14,0,3.888888888888889,35.27
20,45,28,1,3.8571428571428568,20.4
20,29,28,0,4.375,40.43
20,44,26,1,2.4444444444444446,21.46
50,40,18,0,1.3333333333333333,4.62
50,40,30,0,1.2,4.61
50,11,20,0,1.8,8.39
20,52,16,0,3.4444444444444446,32.06
50,13,34,0,1.5714285714285714,7.23
20,15,26,0,1.7368421052631582,69.92
20,43,18,0,2.4545454545454546,32.85
50,18,16,1,5.0,5.16
20,52,30,1,2.8571428571428568,18.23
20,21,36,1,2.4545454545454546,28.19
20,34,24,0,3.4444444444444446,37.1
50,31,28,0,1.1666666666666667,5.24
50,18,34,0,2.2,5.9
20,54,18,1,1.3846153846153846,27.38
20,15,18,1,1.2222222222222223,65.76
20,23,22,1,4.5,33.18
80,12,16,1,1.4285714285714286,8.72
20,12,30,1,1.08,47.01
80,11,24,1,2.2,2.86
20,42,16,1,3.5,27.46
50,12,36,1,3.2,5.95
20,39,22,1,1.2666666666666666,24.18
50,60,14,1,1.1666666666666667,11.82
20,33,18,1,1.2222222222222223,28.71
50,30,22,1,1.6666666666666667,3.72
80,10,26,1,1.5,2.78
20,11,18,1,1.6666666666666667,68.65
20,16,24,0,2.7333333333333334,67.19
50,19,34,1,2.0,4.29
20,42,20,0,1.4285714285714286,33.93
50,18,22,1,3.6,4.81
20,11,28,0,1.5909090909090908,88.63
20,38,16,1,1.7333333333333334,28.21
100,12,14,1,1.1428571428571428,2.14
20,34,24,1,1.4285714285714286,25.97
20,55,28,0,1.8888888888888888,40.98
50,30,36,1,1.4,5.29
20,54,30,1,1.181818181818182,18.23
80,10,22,1,2.4,3.17
50,12,28,0,1.75,8.47
20,46,32,0,1.5,33.49
50,51,18,1,1.4,3.7
20,17,36,0,1.9285714285714288,59.63
20,30,28,1,1.9166666666666667,24.46
50,20,36,1,1.3333333333333333,4.45
50,16,30,1,1.25,4.96
20,49,20,0,5.0,31.61
20,27,28,0,3.888888888888889,43.25
20,60,32,0,2.2857142857142856,25.75
20,29,16,0,1.8235294117647056,47.78
50,24,36,0,1.6,6.31
50,22,20,0,3.6,7.77
20,52,36,0,1.4444444444444444,29.93
80,20,18,0,1.6,3.49
50,36,24,1,1.1666666666666667,3.97
20,19,30,0,2.5384615384615383,53.97
50,40,36,1,1.0,3.92
20,60,14,1,4.375,21.74
20,12,14,0,4.882352941176472,125.9
20,40,36,1,4.166666666666667,19.9
50,12,26,1,1.875,7.04
20,45,24,1,1.2307692307692308,20.44
50,39,36,0,1.0,6.0
20,52,26,0,2.1111111111111107,28.31
20,30,36,1,1.5,25.96
20,50,36,1,1.0909090909090908,24.24
50,36,18,1,1.1428571428571428,5.93
50,25,24,0,1.0,8.17
20,23,22,1,1.0476190476190477,32.07
50,13,16,1,1.25,6.23
20,40,14,0,2.2142857142857144,42.27
20,25,34,0,2.9,41.63
50,23,28,1,1.1428571428571428,4.89
50,17,18,1,4.4,6.2
20,15,28,0,1.9411764705882355,67.36
20,27,28,0,2.4545454545454546,42.15
50,27,16,1,1.7142857142857142,5.35
50,13,30,1,1.8571428571428568,4.98
20,16,34,1,2.2142857142857144,36.58
20,40,36,0,4.166666666666667,40.61
50,34,16,1,1.8333333333333333,4.3
20,57,16,1,3.875,28.43
100,13,14,1,1.0,2.33
20,38,22,0,2.363636363636364,34.0
20,18,34,1,4.5555555555555545,32.49
20,45,36,1,1.7777777777777777,19.77
20,35,22,1,3.888888888888889,23.57
20,23,18,0,1.2857142857142858,53.23
50,14,26,0,2.0,6.93
50,19,28,0,2.8,6.04
50,29,18,0,1.8333333333333333,4.92
20,26,36,0,3.0,44.53
20,33,20,1,1.375,26.16
50,33,30,1,1.0,3.95
50,28,22,1,1.2857142857142858,5.24
80,12,18,0,2.6,3.45
20,45,36,0,1.7777777777777777,29.31
50,52,14,0,1.0,5.59
50,52,30,1,1.0,4.21
100,12,20,0,1.6,2.15
20,42,36,1,2.8571428571428568,20.14
80,21,14,1,1.6,2.65
20,46,16,0,1.4,35.3
80,22,24,0,1.0,3.22
20,40,28,0,1.0714285714285714,32.2
20,36,20,0,2.8181818181818183,35.93
20,55,28,1,3.1428571428571432,20.83
50,21,22,1,1.0,4.4
20,33,36,0,1.1538461538461535,51.47
20,35,32,1,1.0714285714285714,22.02
50,30,32,0,1.6,5.29
50,17,18,1,1.0,5.07
20,17,32,0,2.2142857142857144,58.9
50,39,14,0,1.2857142857142858,6.95
20,25,22,0,1.1,46.87
20,54,20,0,1.818181818181818,31.09
20,57,34,1,1.75,18.37
20,30,36,1,2.7777777777777777,24.48
20,10,24,1,1.64,79.08
20,26,36,1,1.4615384615384617,25.25
80,21,22,1,1.0,2.27
20,33,24,0,1.6923076923076923,37.4
50,40,34,0,1.0,4.83
100,14,14,0,1.0,2.82
20,16,30,1,1.9375,40.13
20,52,30,1,1.0,19.15
20,49,18,0,2.090909090909091,31.67
50,34,34,0,1.0,5.45
50,36,16,0,1.8333333333333333,4.96
50,14,28,1,2.0,5.46
20,55,32,0,1.0909090909090908,27.35
50,24,36,1,1.1666666666666667,4.19
50,54,16,0,1.1666666666666667,4.44
50,16,16,1,4.166666666666667,7.02
20,26,30,0,4.75,44.34
20,54,18,0,3.0,28.92
50,17,30,0,2.6,7.41
20,13,14,0,3.736842105263158,115.83
20,19,28,1,2.6923076923076925,33.57
20,20,18,1,1.08,38.31
50,19,20,1,1.0,4.89
20,56,36,1,1.625,19.33
50,39,28,0,1.4,4.37
20,15,20,0,3.125,73.86
50,35,36,1,1.0,6.14
20,53,28,1,1.8888888888888888,20.8
20,55,36,1,2.2857142857142856,19.89
20,17,28,1,2.5,35.0
50,15,16,1,1.0833333333333333,5.84
50,27,26,1,2.2,4.05
20,40,28,1,4.428571428571429,22.03
50,12,36,1,1.375,5.4
20,10,26,0,2.631578947368421,100.33
50,16,26,0,2.5,7.62
50,30,30,0,1.0,5.25
50,18,16,1,3.6666666666666665,5.35
20,31,30,0,4.125,37.57
50,57,24,0,1.0,4.67
100,10,18,0,1.3333333333333333,2.41
20,35,26,1,1.3571428571428572,23.24
20,58,36,1,4.0,29.55
80,23,24,0,1.0,11.14
20,30,32,1,4.714285714285714,27.2
80,24,22,0,1.0,2.52
20,12,30,0,1.65,80.92
20,18,24,0,1.7222222222222223,59.61
50,38,20,0,2.0,4.77
50,25,32,0,1.3333333333333333,5.38
20,60,36,1,2.6666666666666665,23.46
20,20,26,0,1.3157894736842106,54.07
20,50,30,1,4.166666666666667,19.0
20,42,24,0,2.3,36.56
20,36,30,1,1.818181818181818,21.43
20,51,32,1,1.6666666666666667,18.22
20,41,24,0,1.6666666666666667,34.82
20,54,14,1,1.7692307692307692,23.21
50,39,18,0,1.0,4.63
20,41,24,1,1.6666666666666667,20.79
100,11,14,0,1.2857142857142858,3.05
20,49,16,0,3.1,35.84
20,33,22,0,1.4666666666666666,38.6
80,20,20,1,1.0,2.76
20,15,28,1,1.0869565217391304,38.29
50,24,20,1,1.25,6.41
50,34,24,1,1.6,4.08
20,56,36,1,2.833333333333333,19.84
50,52,24,1,1.2,4.01
50,30,22,1,1.5,3.88
20,25,36,1,2.7,26.89
20,59,32,1,1.875,18.36
20,60,24,0,1.3636363636363635,28.06
20,36,14,1,1.5882352941176472,29.1
20,44,24,1,2.2,19.73
20,36,20,0,1.9230769230769231,36.64
20,28,18,0,1.15,45.54
20,38,16,0,2.3846153846153846,39.69
20,40,18,0,1.9230769230769231,35.86
20,40,14,1,1.4705882352941178,27.08
50,15,24,1,2.6666666666666665,4.93
20,32,24,0,3.1,37.71
20,15,20,0,2.05,72.72
20,20,18,0,3.8461538461538463,63.1
20,44,18,0,1.6923076923076923,34.12
20,27,14,1,5.0,39.71
50,30,26,1,1.1666666666666667,4.9
20,44,24,0,1.818181818181818,30.04
20,49,32,0,2.125,30.74
20,48,36,1,2.571428571428572,20.73
50,38,20,1,2.0,3.92
20,28,36,1,1.3076923076923077,25.5
50,48,20,1,1.6,4.43
20,57,18,1,2.888888888888889,24.07
20,47,30,0,1.6,28.6
20,32,36,1,3.8571428571428568,24.81
20,30,28,0,4.125,40.45
50,23,18,0,1.375,6.16
20,25,26,1,3.8,28.4
20,50,18,0,4.125,30.8
80,25,24,0,1.0,3.73
50,15,16,0,1.6,7.69
20,24,18,0,1.7222222222222223,51.94
80,21,22,1,1.0,3.08
20,35,18,1,1.4375,25.96
20,35,36,0,3.8571428571428568,35.87
50,27,24,1,2.2,4.32
20,35,36,0,1.0769230769230769,34.87
20,34,26,1,1.3571428571428572,28.47
80,24,20,1,1.2,3.63
20,16,30,0,1.25,63.69
20,36,28,0,4.428571428571429,33.7
20,58,36,0,1.625,27.78
50,24,32,0,1.3333333333333333,7.98
50,57,26,0,1.0,4.94
20,58,16,1,1.1333333333333333,23.7
50,15,20,0,2.0,8.12
50,35,20,0,1.1428571428571428,4.54
80,22,24,0,1.0,3.51
50,55,18,1,1.0,5.52
20,60,28,0,1.4,26.87
50,54,16,0,1.6,4.44
20,39,34,1,4.833333333333333,23.43
20,54,26,1,4.5,19.4
20,26,32,0,3.4444444444444446,43.69
100,12,30,0,1.0,3.28
20,22,24,0,1.1,51.1
50,15,24,0,1.625,6.81
50,54,26,1,1.0,3.92
20,35,24,1,1.9166666666666667,25.83
50,20,32,1,1.6666666666666667,4.78
20,12,20,0,1.064516129032258,95.49
50,29,26,1,1.1666666666666667,4.81
20,52,20,1,2.7777777777777777,19.99
50,54,14,1,1.0,8.99
20,27,34,0,1.2857142857142858,44.52
50,12,16,1,1.3333333333333333,6.47
20,23,32,0,1.4,50.14
50,13,14,1,4.0,7.35
20,50,24,1,3.125,19.31
20,22,22,1,4.090909090909091,33.1
20,26,34,1,3.2222222222222223,25.86
50,24,20,1,3.2,4.44
50,10,34,1,4.0,5.97
20,28,36,0,3.375,46.73
20,25,16,0,1.0,55.15
50,52,14,0,1.0,5.23
20,35,36,1,1.4545454545454546,21.26
80,23,14,1,1.6,2.34
20,15,26,1,4.166666666666667,41.39
50,27,24,0,2.2,5.59
50,27,30,1,1.1666666666666667,4.38
50,39,26,1,1.4,3.81
20,32,28,1,1.1333333333333333,25.52
50,13,20,1,1.5,6.39
20,28,28,0,1.0,41.78
80,13,14,0,1.125,3.6
80,19,14,1,1.3333333333333333,3.25
20,10,34,0,3.571428571428572,90.86
20,54,14,1,1.0588235294117647,26.79
50,30,20,0,2.6,7.19
20,56,18,0,1.818181818181818,28.11
50,35,36,0,1.0,5.58
20,33,34,1,2.4444444444444446,22.53
20,32,22,1,2.8181818181818183,25.35
20,32,18,1,2.3846153846153846,27.68
50,50,32,1,1.0,3.75
20,40,36,0,1.0833333333333333,32.62
20,57,28,0,3.8333333333333335,42.14
100,12,30,1,1.0,2.86
100,19,18,0,1.0,2.4
20,16,30,0,3.4166666666666665,64.16
50,40,26,1,1.4,5.11
20,33,34,0,2.4444444444444446,37.14
50,30,14,1,1.1111111111111112,5.93
20,33,34,0,4.142857142857143,36.21
50,33,20,0,1.6666666666666667,7.24
20,24,34,1,1.4285714285714286,26.53
20,28,30,0,1.9166666666666667,40.22
50,51,14,0,1.8,4.75
20,60,18,1,1.5,20.62
50,40,30,1,1.2,4.33
20,43,26,1,1.7272727272727273,20.76
20,45,16,1,2.25,23.68
20,32,30,1,1.6666666666666667,24.76
20,16,36,1,1.8,42.88
20,56,30,0,2.125,29.22
50,58,16,0,1.0,7.75
20,51,26,0,4.833333333333333,29.89
20,33,24,1,1.3333333333333333,23.5
50,54,14,1,1.0,6.01
20,27,24,0,1.1111111111111112,42.52
50,10,26,1,2.8571428571428568,5.53
20,41,16,0,2.583333333333333,38.75
20,30,14,1,2.9285714285714284,35.79
20,40,18,1,1.25,23.56
20,55,28,1,1.8888888888888888,37.3
80,30,16,1,1.2,2.65
20,51,30,1,1.7777777777777777,31.99
50,18,24,0,1.7142857142857142,6.91
20,60,22,1,3.571428571428572,19.75
20,16,20,1,3.333333333333333,43.4
20,24,24,1,4.1,31.86
20,22,18,1,1.2272727272727273,37.33
80,11,24,1,2.0,2.38
20,55,34,1,4.4,17.71
20,14,18,0,3.2352941176470584,81.73
100,11,14,1,1.2857142857142858,2.15
20,43,30,1,1.4545454545454546,19.67
20,20,18,1,2.5625,39.44
20,36,18,1,2.0769230769230766,27.98
50,16,14,1,1.1666666666666667,5.82
20,44,34,1,3.1428571428571432,20.98
20,51,24,1,1.0769230769230769,19.21
20,46,18,0,2.7,32.0
20,10,24,0,1.64,103.0
20,26,26,0,4.2222222222222205,44.69
100,15,24,0,1.0,2.06
20,54,18,1,3.0,19.71
20,11,36,0,2.7333333333333334,84.53
20,48,30,1,1.0833333333333333,19.37
20,10,36,0,1.65,92.66
20,30,14,1,1.9411764705882355,34.96
20,20,32,1,1.6666666666666667,30.35
50,22,30,0,1.6666666666666667,11.62
20,28,26,1,4.75,26.57
80,11,24,0,2.0,10.58
20,14,26,0,2.235294117647059,74.22
20,46,32,1,1.5,20.42
20,36,34,1,4.833333333333333,21.9
20,20,28,0,2.9166666666666665,55.6
50,20,18,1,1.1,4.62
50,22,14,0,1.5555555555555556,7.88
20,27,20,1,2.5384615384615383,28.69
20,57,34,0,1.4444444444444444,28.86
50,55,16,1,1.8,3.93
50,27,20,1,2.6,4.53
20,30,22,0,1.6666666666666667,41.1
20,45,24,0,1.2307692307692308,29.67
20,50,36,1,5.0,20.09
50,11,32,0,3.0,8.15
50,13,18,1,3.1428571428571432,5.46
50,18,18,1,2.2857142857142856,4.9
20,55,24,1,1.4545454545454546,18.92
50,45,26,1,1.2,5.11
20,55,24,0,2.2222222222222223,27.46
50,54,20,1,1.2,4.6
20,48,26,0,1.25,29.57
50,37,26,0,1.4,4.57
50,36,14,0,1.125,5.35
20,11,22,1,2.0454545454545454,55.36
20,39,28,0,1.4166666666666667,31.54
20,35,30,0,1.1428571428571428,36.03
20,48,36,0,1.3,29.59
20,60,24,1,1.6,20.06
20,39,18,0,1.0555555555555556,39.56
100,10,14,0,2.8,2.35
50,19,14,0,1.4,8.03
20,34,18,0,2.230769230769231,39.57
20,55,18,1,4.714285714285714,21.1
20,50,24,0,2.0,31.68
20,56,36,1,1.1,19.22
100,10,24,1,1.0,2.37
50,28,26,1,1.0,4.48
20,20,24,1,1.25,35.92
20,42,32,0,1.3636363636363635,30.52
50,10,24,1,2.5,6.08
50,40,18,1,2.2,4.59
20,25,24,1,2.75,31.69
20,18,28,1,3.727272727272727,36.5
100,17,18,1,1.0,4.75
50,17,18,0,1.0,6.7
20,28,20,1,2.2142857142857144,28.8
50,60,22,0,1.2,5.48
20,52,14,1,1.1176470588235294,27.28
20,32,34,0,4.142857142857143,36.19
20,60,34,0,4.0,26.44
80,30,14,0,1.2,3.86
50,44,24,1,1.0,5.98
20,14,22,0,2.647058823529412,75.61
50,16,20,0,1.2,6.79
80,12,22,1,2.2,2.85
20,41,34,1,1.1666666666666667,19.64
50,37,34,1,1.0,4.04
20,38,30,1,3.125,24.98
20,53,20,1,2.7777777777777777,19.4
50,35,18,1,1.5,4.07
50,19,36,1,2.2,4.12
50,18,14,1,1.7777777777777777,5.35
20,56,30,1,1.0909090909090908,18.32
20,36,22,0,2.4545454545454546,34.74
20,28,30,1,1.4285714285714286,27.06
50,37,28,1,1.4,3.81
50,35,24,0,1.1666666666666667,5.04
100,13,20,0,1.4,2.64
20,42,30,0,1.5454545454545454,31.33
80,20,22,0,1.2,4.28
20,24,16,0,2.7333333333333334,56.72
20,29,36,1,1.3076923076923077,23.77
80,15,18,1,1.3333333333333333,2.51
20,34,24,1,3.4444444444444446,25.42
20,33,14,0,2.333333333333333,48.64
20,22,28,1,3.1818181818181817,32.14
20,15,28,0,2.1875,78.89
20,12,20,0,1.64,93.5
20,14,36,1,1.15,37.88
20,33,26,0,1.2666666666666666,36.33
20,25,20,1,1.25,32.61
20,15,34,0,2.357142857142857,65.78
20,48,36,0,1.6666666666666667,28.49
20,21,28,1,4.1,31.25
20,60,22,0,1.4545454545454546,25.75
20,51,14,1,3.888888888888889,27.03
50,44,16,0,1.5,4.68
50,34,14,1,1.5714285714285714,8.41
50,16,20,1,5.0,6.24
20,30,34,0,1.1428571428571428,40.76
20,50,28,1,1.1666666666666667,19.5
50,42,20,1,1.1666666666666667,5.3
20,39,14,0,1.2105263157894737,43.41
20,54,34,1,1.4444444444444444,20.96
20,50,26,1,1.9,18.71
50,32,20,0,1.6666666666666667,4.97
50,40,32,1,1.2,3.92
20,49,24,0,2.0,28.97
50,12,24,1,5.0,6.51
20,10,36,0,2.5625,107.18
20,11,20,0,1.8,97.87
20,22,16,0,1.4090909090909092,62.0
50,25,22,1,1.125,4.16
50,44,16,1,1.5,5.8
20,21,36,1,1.0588235294117647,30.38
20,60,26,1,2.8571428571428568,19.03
20,51,24,0,2.2222222222222223,43.89
20,42,36,1,3.8333333333333335,36.49
20,57,32,0,3.333333333333333,26.93
50,51,24,0,1.0,4.43
20,58,26,1,2.375,18.42
20,56,26,0,2.375,29.4
50,28,30,0,1.1666666666666667,5.13
20,24,18,0,1.35,50.98
20,42,26,0,1.7272727272727273,30.91
20,58,32,0,1.875,31.02
20,45,14,1,1.4375,25.35
80,15,32,0,1.2,7.38
20,28,34,1,5.0,25.5
50,26,20,1,1.4285714285714286,4.79
100,11,18,1,1.8,7.09
20,27,32,0,3.4444444444444446,41.48
50,26,18,1,1.5714285714285714,4.4
50,35,20,0,2.0,4.48
20,16,34,0,1.9333333333333331,63.62
50,15,22,1,3.0,4.85
50,27,28,1,1.8,4.28
20,55,36,1,1.0,18.99
80,20,30,1,1.0,3.38
20,26,14,0,1.8421052631578947,59.01
20,46,36,0,1.3,32.44
50,28,14,1,2.0,4.37
50,33,30,0,1.0,4.93
20,30,36,1,1.818181818181818,25.5
20,45,28,0,2.875,38.64
50,20,14,0,2.8571428571428568,7.14
50,40,26,0,1.4,4.29
50,40,36,0,1.0,4.88
50,18,34,1,2.2,4.13
50,18,36,1,1.1428571428571428,4.3
20,32,30,0,4.714285714285714,36.71
50,26,16,1,1.7142857142857142,5.24
80,11,32,1,1.4,2.41
20,40,16,1,1.6666666666666667,28.77
50,26,36,1,1.4,4.12
20,52,30,1,1.7777777777777777,21.85
50,33,30,0,1.0,5.27
50,46,16,1,1.3333333333333333,4.28
20,10,16,0,2.48,131.95
20,20,28,0,1.4705882352941178,53.3
20,39,16,1,3.8,26.58
50,10,20,0,2.0,9.01
80,12,18,1,2.6,2.5
20,56,18,0,4.428571428571429,29.5
50,39,24,0,1.4,6.84
20,60,14,0,1.4285714285714286,33.91
80,12,18,0,1.6666666666666667,3.32
20,26,18,0,2.9230769230769242,49.75
50,10,24,1,4.166666666666667,6.8
20,44,14,0,1.2941176470588236,41.97
20,32,20,0,2.583333333333333,40.92
50,24,30,0,2.2,5.14
20,38,22,1,1.6923076923076923,21.95
20,57,30,1,1.181818181818182,21.51
20,40,18,1,2.8181818181818183,29.12
50,30,28,1,1.8,6.83
50,18,26,1,3.2,4.5
20,47,16,1,3.1,23.15
80,21,14,0,1.6,3.37
20,27,18,0,1.5,49.26
20,32,14,1,2.333333333333333,32.71
50,21,16,1,1.3333333333333333,5.0
80,10,16,1,2.5,3.22
80,14,36,1,1.0,2.73
50,30,22,0,1.5,4.78
20,13,30,0,1.7368421052631582,80.95
80,13,22,0,1.8,3.37
20,10,32,0,3.333333333333333,94.93
20,18,32,1,4.1,34.31
20,28,30,0,1.4285714285714286,41.24
50,27,20,0,1.8333333333333333,5.09
80,28,18,0,1.0,2.52
50,58,18,1,1.2,3.81
20,44,30,0,1.25,39.17
80,25,20,1,1.2,2.23
20,14,22,1,2.647058823529412,45.92
20,26,32,0,1.2666666666666666,42.16
20,44,36,1,2.8571428571428568,19.52
50,30,28,0,1.8,5.04
20,39,14,1,2.9166666666666665,27.58
20,15,36,0,1.6875,65.77
20,35,24,1,4.125,23.77
50,20,18,1,1.625,4.87
20,56,30,1,2.8571428571428568,18.74
20,51,24,1,3.8571428571428568,37.5
50,48,26,0,1.2,4.95
20,33,28,1,2.0,32.15
20,60,18,1,1.2307692307692308,21.9
20,13,22,1,1.7272727272727273,48.07
20,24,16,1,2.7333333333333334,36.72
20,29,28,1,4.375,25.87
80,16,14,1,1.1428571428571428,2.47
100,17,16,0,1.2,2.67
20,37,14,0,2.6923076923076925,44.48
20,48,16,1,1.3333333333333333,22.7
50,35,24,0,1.6,5.24
80,18,28,0,1.0,3.76
20,24,30,0,1.25,45.55
20,36,24,1,3.4444444444444446,23.81
20,40,36,0,4.5,37.32
20,15,20,1,3.125,47.78
20,56,20,1,3.125,20.4
80,25,22,0,1.0,4.39
20,51,26,0,2.1111111111111107,31.43
20,46,36,1,1.3,21.73
20,36,20,0,2.25,36.59
20,56,30,1,2.0,17.74
50,10,18,0,1.818181818181818,10.21
50,34,26,1,1.4,4.0
50,33,18,0,1.2857142857142858,4.89
50,10,36,1,2.6666666666666665,5.39
50,60,24,0,1.0,5.04
20,35,28,0,2.5,35.17
50,27,28,0,1.0,5.79
20,47,28,0,1.7,31.1
20,30,26,0,3.6666666666666665,40.17
20,12,30,1,2.5625,44.92
50,15,14,0,4.666666666666667,8.9
50,39,22,0,1.1666666666666667,4.27
20,50,26,0,1.9,27.61
50,48,14,1,1.5,4.2
20,39,20,0,1.1875,35.05
80,15,28,0,1.2,2.74
20,56,28,0,1.5,28.5
20,40,24,0,1.0666666666666669,34.16
50,12,28,0,1.3333333333333333,8.71
50,23,34,1,1.6,6.86
50,17,26,1,1.5714285714285714,5.75
20,10,14,0,1.4285714285714286,154.97
20,42,26,0,2.555555555555556,31.65
20,30,24,0,2.25,40.52
50,25,16,0,1.5,5.82
50,30,14,0,1.1111111111111112,5.77
80,23,14,0,1.6,2.8
20,16,14,0,4.733333333333333,94.12
50,27,32,1,1.1666666666666667,4.5
20,60,32,0,5.0,27.91
20,36,30,0,1.5,36.43
50,13,24,0,2.2857142857142856,8.51
50,20,30,1,1.6666666666666667,6.77
20,22,22,0,4.090909090909091,52.01
20,33,30,0,3.0,37.14
50,17,20,0,4.0,6.7
20,36,28,0,1.3076923076923077,33.04
20,44,28,0,2.75,29.44
50,10,30,1,1.3,5.36
50,31,22,0,1.5,4.76
50,26,30,0,1.1666666666666667,5.57
50,38,14,0,1.4285714285714286,5.06
50,44,20,0,1.8,4.29
50,12,22,0,4.166666666666667,10.14
80,21,22,0,1.0,2.63
20,56,14,1,3.1,23.19
80,10,20,1,3.0,2.83
100,18,20,0,1.0,2.63
20,18,28,0,2.6923076923076925,57.19
20,27,28,1,1.0588235294117647,27.77
20,28,22,1,3.1818181818181817,29.79
20,54,16,1,1.2,23.79
20,30,16,1,5.0,40.68
20,60,36,1,3.0,19.78
100,20,18,0,1.0,2.36
20,20,34,0,2.4166666666666665,55.02
50,21,20,0,1.8571428571428568,6.46
50,19,30,1,2.6,4.36
50,24,14,1,1.75,5.84
20,31,36,1,1.2307692307692308,23.39
50,38,20,1,2.0,4.29
20,51,14,0,2.636363636363636,34.96
50,14,24,1,1.75,4.92
20,23,20,0,5.0,50.12
20,34,30,0,4.714285714285714,37.91
20,42,20,0,1.0625,33.07
50,14,24,0,1.3333333333333333,7.41
20,57,28,1,1.181818181818182,19.69
20,32,28,0,3.875,36.41
20,52,34,1,2.7142857142857144,18.44
20,21,20,1,1.9411764705882355,36.41
50,12,18,1,2.75,5.85
50,17,30,1,2.6,4.38
20,39,14,0,3.4545454545454546,44.7
20,54,20,1,1.2307692307692308,25.27
20,26,34,0,3.2222222222222223,41.22
50,34,30,0,1.2,6.8
50,56,20,1,1.2,11.9
20,45,32,0,4.166666666666667,30.4
20,27,34,1,3.2222222222222223,25.82
20,40,14,1,2.2142857142857144,28.65
20,13,14,1,1.0857142857142856,67.66
20,32,36,1,1.1538461538461535,22.73
20,18,34,0,4.5555555555555545,59.45
20,42,14,1,4.1,29.73
20,31,22,1,1.375,29.48
20,21,32,1,1.1764705882352942,29.5
50,33,26,0,1.8,4.46
20,45,32,1,4.166666666666667,22.7
100,15,20,1,1.2,1.88
20,37,18,0,2.0769230769230766,36.89
20,12,18,1,1.5185185185185186,57.58
20,12,32,0,1.55,79.15
50,56,16,0,1.1666666666666667,13.62
50,11,30,1,3.0,5.4
20,60,14,0,2.272727272727273,32.47
20,49,16,0,1.0,34.36
20,60,24,1,2.5,21.82
20,56,28,0,2.125,27.55
50,10,18,1,1.818181818181818,6.96
20,40,34,1,1.1666666666666667,20.64
20,20,22,0,1.1363636363636365,54.18
20,38,24,0,3.875,33.01
50,30,26,0,2.0,4.81
80,11,28,1,1.6,3.73
20,43,16,1,2.8181818181818183,24.25
80,18,28,1,1.0,3.18
20,45,30,1,1.4545454545454546,20.79
50,20,22,0,3.6,5.94
20,15,24,0,2.5625,70.76
20,60,20,1,2.0,17.81
20,48,22,1,4.428571428571429,21.19
20,21,20,1,1.0869565217391304,35.18
80,15,30,1,1.2,2.64
20,24,34,0,3.4444444444444446,45.62
20,50,22,0,2.2,28.16
100,17,14,1,1.4,1.77
20,38,36,0,4.333333333333333,36.71
20,60,36,1,1.625,23.21
80,23,16,1,1.4,2.82
20,29,34,1,1.2142857142857142,31.03
50,18,16,0,1.0909090909090908,7.04
80,12,14,0,3.0,5.92
20,20,22,0,3.75,57.49
20,36,24,0,2.7,36.3
20,56,36,0,4.0,27.33
50,15,34,0,2.6,6.98
50,17,28,0,1.5714285714285714,6.24
50,31,20,0,1.6666666666666667,5.8
50,32,34,1,1.2,4.51
20,53,26,0,2.1111111111111107,31.99
50,11,36,0,2.6666666666666665,8.06
80,12,20,1,1.1428571428571428,2.7
20,26,24,1,4.5555555555555545,28.77
80,18,18,0,1.0,3.26
