grid_step,n_nodes,n_cores,single_precision,subdomain_ratio,time1
20,25,32,0,1.3333333333333333,44.82
50,32,30,0,1.6,5.11
20,49,16,1,4.375,23.53
20,24,22,1,3.727272727272727,32.05
80,25,14,0,1.6,3.01
20,56,18,1,4.428571428571429,21.33
20,20,14,1,1.4,46.42
20,45,16,0,1.25,35.71
20,17,36,0,4.5555555555555545,65.64
50,27,26,0,2.2,4.9
20,16,22,1,1.4090909090909092,42.47
20,60,20,0,3.125,28.02
20,55,30,1,3.6666666666666665,20.77
20,31,36,0,3.375,38.96
20,47,14,0,3.5,36.69
20,21,28,1,1.3529411764705883,32.68
20,36,30,0,3.375,35.59
20,25,34,1,1.4285714285714286,28.73
20,40,20,1,3.1,23.03
50,12,14,0,2.7777777777777777,10.19
20,53,20,0,2.7777777777777777,29.55
20,40,18,0,2.25,36.41
20,19,20,0,1.04,75.6
20,39,22,0,1.8333333333333333,32.91
20,26,20,0,1.3157894736842106,47.58
20,60,32,0,3.333333333333333,38.8
20,55,16,0,1.8333333333333333,30.65
20,20,20,0,1.0,58.91
50,28,26,0,1.0,6.14
50,50,24,1,1.2,7.08
50,31,26,0,1.1666666666666667,9.52
20,59,30,0,2.0,26.13
20,60,36,0,2.6666666666666665,41.75
20,48,20,1,3.875,20.9
20,33,18,1,5.0,29.91
80,25,24,1,1.0,4.39
20,11,18,1,2.5,65.19
20,60,30,1,3.333333333333333,20.58
20,60,20,0,2.0,26.2
50,20,24,1,1.25,5.1
50,12,30,1,2.6666666666666665,5.08
50,27,34,0,1.4,5.96
20,52,30,0,1.0,41.46
20,42,18,0,3.888888888888889,33.99
20,54,22,0,2.4444444444444446,28.25
20,46,16,1,3.1,23.34
20,25,24,0,1.0,45.42
20,25,28,1,3.5,43.0
20,42,16,1,1.5333333333333334,24.64
20,22,26,0,3.4545454545454546,50.37
80,15,14,0,1.0,3.23
50,35,16,1,2.4,4.72
20,11,30,0,1.5,86.87
80,16,30,0,1.2,3.83
50,28,16,0,1.7142857142857142,5.78
20,57,20,1,1.2307692307692308,20.1
20,28,18,0,2.6923076923076925,46.46
20,19,32,1,1.7333333333333334,36.78
20,18,32,0,1.0,56.6
20,18,24,1,3.1538461538461537,35.19
20,30,20,0,1.0,42.58
20,56,18,1,1.3076923076923077,19.1
20,10,34,1,1.16,52.05
50,39,16,0,1.1428571428571428,4.91
20,32,24,0,1.3333333333333333,39.99
20,45,14,0,3.0,38.46
20,21,24,1,1.5882352941176472,33.45
50,21,24,1,2.8,4.2
20,35,24,1,2.272727272727273,22.05
