x_length,y_length,grid_step,ni,nj,n_nodes,n_cores,n_procs,dx,dy,nx,ny,subdomain_ratio,single_precision,physics_on,estimated_duration,jobdir,time0,time1,time2
10000,10000,20,500,500,10,30,300,33,25,15,20,1.32,0,1,128.3880171184023,10000_10000_020_10_30_0_1_015_020,4.45,104.87,98.84
10000,10000,20,500,500,10,30,300,33,25,15,20,1.32,1,1,89.8716119828816,10000_10000_020_10_30_1_1_015_020,4.16,56.63,48.44
10000,10000,20,500,500,10,30,300,41,20,12,25,2.05,0,1,128.3880171184023,10000_10000_020_10_30_0_1_012_025,2.58,95.61,90.47
10000,10000,20,500,500,10,30,300,41,20,12,25,2.05,1,1,89.8716119828816,10000_10000_020_10_30_1_1_012_025,4.64,56.22,47.95
10000,10000,20,500,500,10,30,300,50,16,10,30,3.125,0,1,128.3880171184023,10000_10000_020_10_30_0_1_010_030,2.13,94.27,90.95
10000,10000,20,500,500,10,30,300,50,16,10,30,3.125,1,1,89.8716119828816,10000_10000_020_10_30_1_1_010_030,2.08,53.09,49.85
10000,10000,20,500,500,10,32,320,31,25,16,20,1.24,0,1,120.36376604850216,10000_10000_020_10_32_0_1_016_020,2.47,94.94,91.12
10000,10000,20,500,500,10,32,320,31,25,16,20,1.24,1,1,84.25463623395152,10000_10000_020_10_32_1_1_016_020,4.78,55.15,47.28
10000,10000,20,500,500,10,32,320,50,15,10,32,3.333333333333333,0,1,120.36376604850216,10000_10000_020_10_32_0_1_010_032,3.64,94.93,87.73
10000,10000,20,500,500,10,32,320,50,15,10,32,3.333333333333333,1,1,84.25463623395152,10000_10000_020_10_32_1_1_010_032,2.85,52.2,46.91
10000,10000,20,500,500,10,34,340,29,25,17,20,1.16,0,1,113.28354451623731,10000_10000_020_10_34_0_1_017_020,2.47,93.81,89.53
10000,10000,20,500,500,10,34,340,29,25,17,20,1.16,1,1,79.29848116136611,10000_10000_020_10_34_1_1_017_020,3.64,52.05,46.32
10000,10000,20,500,500,10,34,340,50,14,10,34,3.571428571428572,0,1,113.28354451623731,10000_10000_020_10_34_0_1_010_034,2.2,90.86,88.38
10000,10000,20,500,500,10,34,340,50,14,10,34,3.571428571428572,1,1,79.29848116136611,10000_10000_020_10_34_1_1_010_034,2.02,49.58,46.02
10000,10000,20,500,500,10,36,360,27,25,18,20,1.08,0,1,106.99001426533523,10000_10000_020_10_36_0_1_018_020,5.13,102.67,89.29
10000,10000,20,500,500,10,36,360,27,25,18,20,1.08,1,1,74.89300998573465,10000_10000_020_10_36_1_1_018_020,3.35,68.13,46.65
10000,10000,20,500,500,10,36,360,33,20,15,24,1.65,0,1,106.99001426533523,10000_10000_020_10_36_0_1_015_024,2.16,92.66,88.12
10000,10000,20,500,500,10,36,360,33,20,15,24,1.65,1,1,74.89300998573465,10000_10000_020_10_36_1_1_015_024,4.26,52.51,51.55
10000,10000,20,500,500,10,36,360,41,16,12,30,2.5625,0,1,106.99001426533523,10000_10000_020_10_36_0_1_012_030,2.26,107.18,100.65
10000,10000,20,500,500,10,36,360,41,16,12,30,2.5625,1,1,74.89300998573465,10000_10000_020_10_36_1_1_012_030,2.75,53.81,46.42
10000,10000,20,500,500,10,36,360,50,13,10,36,3.8461538461538463,0,1,106.99001426533523,10000_10000_020_10_36_0_1_010_036,2.25,91.48,87.19
10000,10000,20,500,500,10,36,360,50,13,10,36,3.8461538461538463,1,1,74.89300998573465,10000_10000_020_10_36_1_1_010_036,3.64,51.29,45.33
10000,10000,20,500,500,10,36,360,55,12,9,40,4.583333333333333,0,1,106.99001426533523,10000_10000_020_10_36_0_1_009_040,5.51,97.67,91.24
10000,10000,20,500,500,10,36,360,55,12,9,40,4.583333333333333,1,1,74.89300998573465,10000_10000_020_10_36_1_1_009_040,11.25,65.82,47.19
10000,10000,20,500,500,11,14,154,45,35,11,14,1.2857142857142858,0,1,250.10652685403045,10000_10000_020_11_14_0_1_011_014,1.63,138.26,131.22
10000,10000,20,500,500,11,14,154,45,35,11,14,1.2857142857142858,1,1,175.0745687978213,10000_10000_020_11_14_1_1_011_014,3.29,81.29,74.85
10000,10000,20,500,500,11,14,154,71,22,7,22,3.227272727272727,0,1,250.10652685403045,10000_10000_020_11_14_0_1_007_022,1.71,136.18,131.42
10000,10000,20,500,500,11,14,154,71,22,7,22,3.227272727272727,1,1,175.0745687978213,10000_10000_020_11_14_1_1_007_022,3.78,83.91,77.04
10000,10000,20,500,500,11,16,176,45,31,11,16,1.4516129032258065,0,1,218.8432109972766,10000_10000_020_11_16_0_1_011_016,1.62,119.59,111.7
10000,10000,20,500,500,11,16,176,45,31,11,16,1.4516129032258065,1,1,153.19024769809366,10000_10000_020_11_16_1_1_011_016,2.37,69.74,65.35
10000,10000,20,500,500,11,16,176,62,22,8,22,2.8181818181818183,0,1,218.8432109972766,10000_10000_020_11_16_0_1_008_022,1.7,115.77,108.89
